,description
140,"Frankfurter, chicken provides 223.0 calories. It contains 16.0 grams of fat, 0.096 grams of cholesterol, and 0.00117 grams of iron, as well as 2.98 grams of sugars and 2.74 grams of carbohydrates."
141,"Ham, canned, chopped has 239.0 calories. It contains 19.0 grams of fat, 0.049 grams of cholesterol, 0.00095 grams of iron, 0.0 grams of sugars, and 0.26 grams of carbohydrates."
142,"Spices, dried, thyme encompasses 276.0 calories. It contains 7.4 grams of fat, 0.0 grams of cholesterol, and 0.12359999999999999 grams of iron, along with 1.71 grams of sugars and 63.94 grams of carbohydrates."
143,"Carrot juice, canned represents 40.0 calories. It contains 0.2 grams of fat, 0.0 grams of cholesterol, and 0.00046 grams of iron, as well as 3.91 grams of sugars and 9.28 grams of carbohydrates."
144,"Corn, dried (Navajo) comprises 386.0 calories. It includes 5.2 grams of fat, 0.0 grams of cholesterol, and 0.0019199999999999998 grams of iron, as well as 5.38 grams of sugars and 74.93 grams of carbohydrates."
145,"Pate, truffle flavor contains 327.0 calories. In terms of nutrition, it has 29.0 grams of fat, 0.105 grams of cholesterol, and 0.00394 grams of iron. Additionally, it includes 0.0 grams of sugar and 6.3 grams of carbs."
146,"In Fruit butters, apple, you get 173.0 calories. The nutritional content includes 0.3 grams of fat, 0.0 grams of cholesterol, and 0.00031 grams of iron. There are also 35.3 grams of sugar and 42.47 grams of carbs."
147,"Fast foods, coleslaw provides 153.0 calories. It contains 9.9 grams of fat, 0.004 grams of cholesterol, and 0.00022 grams of iron, as well as 12.19 grams of sugars and 14.89 grams of carbohydrates."
148,"Salami, beef, cooked has 261.0 calories. It contains 22.0 grams of fat, 0.071 grams of cholesterol, 0.0022 grams of iron, 1.5 grams of sugars, and 1.9 grams of carbohydrates."
149,"Spices, chili powder delivers 282.0 calories. Nutritionally, it has 14.0 grams of fat, 0.0 grams of cholesterol, and 0.0173 grams of iron. It also includes 7.19 grams of sugar and 49.7 grams of carbs."
150,"In Spices, caraway seed, you get 333.0 calories. The nutritional content includes 15.0 grams of fat, 0.0 grams of cholesterol, and 0.01623 grams of iron. There are also 0.64 grams of sugar and 49.9 grams of carbs."
151,"Spices, dried, basil has 233.0 calories. It contains 4.1 grams of fat, 0.0 grams of cholesterol, 0.08979999999999999 grams of iron, 1.71 grams of sugars, and 47.75 grams of carbohydrates."
152,"Pickle relish, sweet comprises 130.0 calories. It includes 0.5 grams of fat, 0.0 grams of cholesterol, and 0.00087 grams of iron, as well as 29.13 grams of sugars and 35.06 grams of carbohydrates."
153,"Chives, freeze-dried makes up 311.0 calories. The nutritional breakdown includes 3.5 grams of fat, 0.0 grams of cholesterol, and 0.02 grams of iron, along with 0.0 grams of sugars and 64.29 grams of carbohydrates."
154,"Fish, raw, sablefish contains 195.0 calories. In terms of nutrition, it has 15.0 grams of fat, 0.049 grams of cholesterol, and 0.00128 grams of iron. Additionally, it includes 0.0 grams of sugar and 0.0 grams of carbs."
155,"For 482.0 calories, Crackers, multigrain provides 20.0 grams of fat, 0.0 grams of cholesterol, 0.00259 grams of iron, 12.0 grams of sugars, and 67.6 grams of carbohydrates."
156,"Spices, ground, mace indicates 475.0 calories. It contains 32.0 grams of fat, 0.0 grams of cholesterol, and 0.013900000000000001 grams of iron, as well as 0.0 grams of sugars and 50.5 grams of carbohydrates."
157,"Spices, onion powder boasts 341.0 calories. The nutritional content includes 1.0 grams of fat, 0.0 grams of cholesterol, and 0.0039 grams of iron, as well as 6.63 grams of sugars and 79.12 grams of carbohydrates."
158,"Butter, without salt has a calorie count of 717.0. It provides 81.0 grams of fat, 0.215 grams of cholesterol, and 2e-05 grams of iron. It also contains 0.06 grams of sugar and 0.06 grams of carbs."
159,"Rice noodles, cooked boasts 108.0 calories. The nutritional content includes 0.2 grams of fat, 0.0 grams of cholesterol, and 0.00014000000000000001 grams of iron, as well as 0.03 grams of sugars and 24.01 grams of carbohydrates."
160,"Barley flour or meal yields 345.0 calories. Nutritionally, it includes 1.6 grams of fat, 0.0 grams of cholesterol, and 0.00268 grams of iron, along with 0.8 grams of sugars and 74.52 grams of carbohydrates."
161,"Sesbania flower, raw shows 27.0 calories. The nutritional breakdown includes 0.0 grams of fat, 0.0 grams of cholesterol, and 0.0008399999999999999 grams of iron, along with 0.0 grams of sugars and 6.73 grams of carbohydrates."
162,"Garlic bread, frozen signifies 350.0 calories. It contains 17.0 grams of fat, 0.0 grams of cholesterol, and 0.0030499999999999998 grams of iron, as well as 3.69 grams of sugars and 41.72 grams of carbohydrates."
163,"KFC, Popcorn Chicken packs 351.0 calories. It has 22.0 grams of fat, 0.04 grams of cholesterol, and 0.0014199999999999998 grams of iron, as well as 0.0 grams of sugars and 21.18 grams of carbohydrates."
164,"APPLEBEE'S, coleslaw produces 120.0 calories. It contains 7.1 grams of fat, 0.002 grams of cholesterol, and 0.00026000000000000003 grams of iron, as well as 9.33 grams of sugars and 13.17 grams of carbohydrates."
165,"Rolls, sweet, dinner amounts to 321.0 calories. It includes 7.4 grams of fat, 0.055 grams of cholesterol, and 0.0027400000000000002 grams of iron, along with 15.38 grams of sugars and 53.58 grams of carbohydrates."
166,"In Cherries, raw, sweet, you get 63.0 calories. The nutritional content includes 0.2 grams of fat, 0.0 grams of cholesterol, and 0.00035999999999999997 grams of iron. There are also 12.82 grams of sugar and 16.01 grams of carbs."
167,"Ostrich, raw, ground indicates 165.0 calories. It contains 8.7 grams of fat, 0.071 grams of cholesterol, and 0.0029100000000000003 grams of iron, as well as 0.0 grams of sugars and 0.0 grams of carbohydrates."
168,"SILK Coffee, soymilk accounts for 62.0 calories. Nutritionally, it contains 1.4 grams of fat, 0.0 grams of cholesterol, and 0.0 grams of iron, along with 9.47 grams of sugars and 10.29 grams of carbohydrates."
169,"Snacks, banana chips generates 519.0 calories. The nutritional breakdown includes 34.0 grams of fat, 0.0 grams of cholesterol, and 0.00125 grams of iron, along with 35.34 grams of sugars and 58.4 grams of carbohydrates."
170,"Peaches, raw, yellow consists of 39.0 calories. It contains 0.3 grams of fat, 0.0 grams of cholesterol, and 0.00025 grams of iron, along with 8.39 grams of sugars and 9.54 grams of carbohydrates."
171,"Rolls, wheat, dinner produces 273.0 calories. It contains 6.3 grams of fat, 0.0 grams of cholesterol, and 0.0035499999999999998 grams of iron, as well as 1.63 grams of sugars and 46.0 grams of carbohydrates."
172,"Candies, HEATH BITES stands at 530.0 calories. It contains 30.0 grams of fat, 0.019 grams of cholesterol, and 0.00078 grams of iron, as well as 60.02 grams of sugars and 63.39 grams of carbohydrates."
173,"Chicken, raw, ground produces 143.0 calories. It contains 8.1 grams of fat, 0.086 grams of cholesterol, and 0.00082 grams of iron, as well as 0.0 grams of sugars and 0.04 grams of carbohydrates."
174,"Pears, bartlett, raw boasts 63.0 calories. The nutritional content includes 0.2 grams of fat, 0.0 grams of cholesterol, and 0.00019 grams of iron, as well as 9.69 grams of sugars and 15.01 grams of carbohydrates."
175,"Toppings, strawberry serves up 254.0 calories. Nutritionally, it contains 0.1 grams of fat, 0.0 grams of cholesterol, and 0.00028000000000000003 grams of iron, along with 27.38 grams of sugars and 66.3 grams of carbohydrates."
176,"KEEBLER, Sugar Cones carries 375.0 calories. It has 3.7 grams of fat, 0.0 grams of cholesterol, and 0.0032 grams of iron, as well as 26.4 grams of sugars and 78.0 grams of carbohydrates."
177,"Seaweed, raw, wakame contains 45.0 calories. It has 0.6 grams of fat, 0.0 grams of cholesterol, and 0.00218 grams of iron, plus 0.65 grams of sugars and 9.14 grams of carbohydrates."
178,"Seaweed, dried, agar has a calorie count of 306.0. It provides 0.3 grams of fat, 0.0 grams of cholesterol, and 0.0214 grams of iron. It also contains 2.97 grams of sugar and 80.88 grams of carbs."
179,"Bread, cracked-wheat is a food with 260.0 calories. It provides 3.9 grams of fat, 0.0 grams of cholesterol, and 0.00281 grams of iron. You can also find 0.0 grams of sugars and 49.5 grams of carbohydrates in it."
180,"Amaranth leaves, raw supplies 23.0 calories. Nutritionally, it includes 0.3 grams of fat, 0.0 grams of cholesterol, and 0.00232 grams of iron, along with 0.0 grams of sugars and 4.02 grams of carbohydrates."
181,"Barley, raw, pearled demonstrates 352.0 calories. The nutritional content includes 1.2 grams of fat, 0.0 grams of cholesterol, and 0.0025 grams of iron, along with 0.8 grams of sugars and 77.72 grams of carbohydrates."
182,"Polish sausage, pork signifies 326.0 calories. It contains 29.0 grams of fat, 0.07 grams of cholesterol, and 0.0014399999999999999 grams of iron, as well as 0.0 grams of sugars and 1.63 grams of carbohydrates."
183,"Spices, curry powder has 325.0 calories. It contains 14.0 grams of fat, 0.0 grams of cholesterol, 0.019100000000000002 grams of iron, 2.76 grams of sugars, and 55.83 grams of carbohydrates."
184,"Bacon bits, meatless accounts for 476.0 calories. Nutritionally, it contains 26.0 grams of fat, 0.0 grams of cholesterol, and 0.0007199999999999999 grams of iron, along with 0.0 grams of sugars and 28.6 grams of carbohydrates."
185,"Semolina, unenriched supplies 360.0 calories. Nutritionally, it includes 1.1 grams of fat, 0.0 grams of cholesterol, and 0.00123 grams of iron, along with 0.0 grams of sugars and 72.83 grams of carbohydrates."
186,"Grape leaves, canned comprises 69.0 calories. It includes 2.0 grams of fat, 0.0 grams of cholesterol, and 0.00298 grams of iron, as well as 0.0 grams of sugars and 11.71 grams of carbohydrates."
187,"In Spices, ground, sage, you get 315.0 calories. The nutritional content includes 13.0 grams of fat, 0.0 grams of cholesterol, and 0.028120000000000003 grams of iron. There are also 1.71 grams of sugar and 60.73 grams of carbs."
188,"PACE, Red Taco Sauce supplies 50.0 calories. Nutritionally, it includes 0.0 grams of fat, 0.0 grams of cholesterol, and 0.0 grams of iron, along with 6.25 grams of sugars and 12.5 grams of carbohydrates."
189,"DENNY'S, hash browns contributes 197.0 calories. Nutritionally, it has 9.0 grams of fat, 0.0 grams of cholesterol, and 0.0005600000000000001 grams of iron, as well as 1.38 grams of sugars and 26.59 grams of carbohydrates."
190,"DENNY'S, onion rings demonstrates 385.0 calories. The nutritional content includes 22.0 grams of fat, 0.0 grams of cholesterol, and 0.00074 grams of iron, along with 4.76 grams of sugars and 41.05 grams of carbohydrates."
191,"Ostrich, raw, oyster encompasses 125.0 calories. It contains 3.7 grams of fat, 0.073 grams of cholesterol, and 0.0038599999999999997 grams of iron, along with 0.0 grams of sugars and 0.0 grams of carbohydrates."
192,"Oil, corn and canola offers 884.0 calories. The nutritional breakdown includes 100.0 grams of fat, 0.0 grams of cholesterol, and 0.0 grams of iron, along with 0.0 grams of sugars and 0.0 grams of carbohydrates."
193,"Pumpkin flowers, raw accounts for 15.0 calories. Nutritionally, it contains 0.1 grams of fat, 0.0 grams of cholesterol, and 0.0007 grams of iron, along with 0.0 grams of sugars and 3.28 grams of carbohydrates."
194,"Celery flakes, dried totals 319.0 calories. It contains 2.1 grams of fat, 0.0 grams of cholesterol, and 0.00783 grams of iron, as well as 35.9 grams of sugars and 63.7 grams of carbohydrates."
195,"Crackers, egg, matzo tallies 391.0 calories. The nutritional profile includes 2.1 grams of fat, 0.083 grams of cholesterol, and 0.0027 grams of iron, along with 0.0 grams of sugars and 78.6 grams of carbohydrates."
196,"Loganberries, frozen produces 55.0 calories. It contains 0.3 grams of fat, 0.0 grams of cholesterol, and 0.00064 grams of iron, as well as 7.7 grams of sugars and 13.02 grams of carbohydrates."
197,"Tangerine juice, raw consists of 43.0 calories. It contains 0.2 grams of fat, 0.0 grams of cholesterol, and 0.0002 grams of iron, along with 9.9 grams of sugars and 10.1 grams of carbohydrates."
198,"Soybeans, raw, green has a calorie count of 147.0. It provides 6.8 grams of fat, 0.0 grams of cholesterol, and 0.0035499999999999998 grams of iron. It also contains 0.0 grams of sugar and 11.05 grams of carbs."
199,"Soybean, curd cheese gives you 151.0 calories. It contains 8.1 grams of fat, 0.0 grams of cholesterol, and 0.0056 grams of iron. Additionally, it includes 1.6 grams of sugar and 6.9 grams of carbs."
200,"Game meat, raw, bear indicates 161.0 calories. It contains 8.3 grams of fat, 0.0 grams of cholesterol, and 0.0066500000000000005 grams of iron, as well as 0.0 grams of sugars and 0.0 grams of carbohydrates."
201,"Game meat, raw, deer accounts for 120.0 calories. Nutritionally, it contains 2.4 grams of fat, 0.085 grams of cholesterol, and 0.0034 grams of iron, along with 0.0 grams of sugars and 0.0 grams of carbohydrates."
202,"Oranges, navels, raw carries 49.0 calories. It has 0.2 grams of fat, 0.0 grams of cholesterol, and 0.00013000000000000002 grams of iron, as well as 8.5 grams of sugars and 12.54 grams of carbohydrates."
203,"Tostada shells, corn produces 474.0 calories. It contains 23.0 grams of fat, 0.0 grams of cholesterol, and 0.0015300000000000001 grams of iron, as well as 0.0 grams of sugars and 64.43 grams of carbohydrates."
204,"Fish, raw, swordfish makes up 144.0 calories. The nutritional breakdown includes 6.7 grams of fat, 0.066 grams of cholesterol, and 0.00038 grams of iron, along with 0.0 grams of sugars and 0.0 grams of carbohydrates."
205,"Taro, raw, tahitian yields 44.0 calories. Nutritionally, it includes 1.0 grams of fat, 0.0 grams of cholesterol, and 0.0013 grams of iron, along with 0.0 grams of sugars and 6.91 grams of carbohydrates."
206,"Chicory greens, raw exhibits 23.0 calories. It contains 0.3 grams of fat, 0.0 grams of cholesterol, and 0.0009 grams of iron, as well as 0.7 grams of sugars and 4.7 grams of carbohydrates."
207,"Hearts of palm, raw packs 115.0 calories. It has 0.2 grams of fat, 0.0 grams of cholesterol, and 0.0016899999999999999 grams of iron, as well as 17.16 grams of sugars and 25.61 grams of carbohydrates."
208,"Chayote, raw, fruit demonstrates 19.0 calories. The nutritional content includes 0.1 grams of fat, 0.0 grams of cholesterol, and 0.00034 grams of iron, along with 1.66 grams of sugars and 4.51 grams of carbohydrates."
209,"In Fish, smoked, cisco, you get 177.0 calories. The nutritional content includes 12.0 grams of fat, 0.032 grams of cholesterol, and 0.00049 grams of iron. There are also 0.0 grams of sugar and 0.0 grams of carbs."
210,"For 223.0 calories, Frankfurter, turkey provides 17.0 grams of fat, 0.077 grams of cholesterol, 0.00147 grams of iron, 1.21 grams of sugars, and 3.81 grams of carbohydrates."
211,"Candies, jellybeans provides 375.0 calories. It contains 0.1 grams of fat, 0.0 grams of cholesterol, and 0.00013000000000000002 grams of iron, as well as 70.0 grams of sugars and 93.55 grams of carbohydrates."
212,"Oil, ucuhuba butter comprises 884.0 calories. It includes 100.0 grams of fat, 0.0 grams of cholesterol, and 0.0 grams of iron, as well as 0.0 grams of sugars and 0.0 grams of carbohydrates."
213,"Soy protein isolate carries 335.0 calories. It has 3.4 grams of fat, 0.0 grams of cholesterol, and 0.0145 grams of iron, as well as 0.0 grams of sugars and 0.0 grams of carbohydrates."
214,"With 283.0 calories, Syrups, light, corn offers 0.2 grams of fat, 0.0 grams of cholesterol, 0.0 grams of iron, 76.77 grams of sugars, and 76.79 grams of carbohydrates."
